split,dimension,cell,count,accuracy,macro_accuracy,coverage
general,operator,initialization,776,0.9085051546391752,0.8083425226556692,1.0
general,operator,SET,1809,0.9458264234383638,0.8083425226556692,1.0
general,operator,NOT,1880,0.7468085106382979,0.8083425226556692,1.0
general,operator,AND,1253,0.7789305666400639,0.8083425226556692,1.0
general,operator,OR,1207,0.8102734051367025,0.8083425226556692,1.0
general,operator,XOR,1246,0.6597110754414125,0.8083425226556692,1.0
general,query_var,A,2049,0.821376281112738,0.8071131160459449,1.0
general,query_var,B,2104,0.8056083650190115,0.8071131160459449,1.0
general,query_var,C,2048,0.80908203125,0.8071131160459449,1.0
general,query_var,D,1970,0.7923857868020304,0.8071131160459449,1.0
general,answer,0,4030,0.7280397022332507,0.8061835796846041,1.0
general,answer,1,4141,0.8843274571359575,0.8061835796846041,1.0
general,blocks,8,272,0.8419117647058824,0.8100631106589582,1.0
general,blocks,9,288,0.875,0.8100631106589582,1.0
general,blocks,10,310,0.8290322580645161,0.8100631106589582,1.0
general,blocks,11,154,0.8051948051948052,0.8100631106589582,1.0
general,blocks,12,324,0.7993827160493827,0.8100631106589582,1.0
general,blocks,13,390,0.8076923076923077,0.8100631106589582,1.0
general,blocks,14,490,0.8,0.8100631106589582,1.0
general,blocks,15,645,0.8031007751937984,0.8100631106589582,1.0
general,blocks,16,464,0.8125,0.8100631106589582,1.0
general,blocks,17,408,0.7745098039215687,0.8100631106589582,1.0
general,blocks,18,594,0.8063973063973064,0.8100631106589582,1.0
general,blocks,19,684,0.7953216374269005,0.8100631106589582,1.0
general,blocks,20,540,0.8092592592592592,0.8100631106589582,1.0
general,blocks,21,798,0.8258145363408521,0.8100631106589582,1.0
general,blocks,22,726,0.7878787878787878,0.8100631106589582,1.0
general,blocks,23,460,0.8,0.8100631106589582,1.0
general,blocks,24,624,0.7980769230769231,0.8100631106589582,1.0
general,distance,0,4081,0.7784856652781181,0.8169249052938289,1.0
general,distance,1-2,2032,0.8681102362204725,0.8169249052938289,1.0
general,distance,3+,2058,0.8041788143828961,0.8169249052938289,1.0
general,truth,00,919,0.6039173014145811,0.7522285250466633,1.0
general,truth,01,903,0.8449612403100775,0.7522285250466633,1.0
general,truth,10,861,0.851335656213705,0.7522285250466633,1.0
general,truth,11,1023,0.7086999022482894,0.7522285250466633,1.0
general,truth_table,AND:00,315,0.946031746031746,0.753622258322124,1.0
general,truth_table,AND:01,309,0.8252427184466019,0.753622258322124,1.0
general,truth_table,AND:10,249,0.751004016064257,0.753622258322124,1.0
general,truth_table,AND:11,380,0.6210526315789474,0.753622258322124,1.0
general,truth_table,OR:00,327,0.363914373088685,0.753622258322124,1.0
general,truth_table,OR:01,261,0.9310344827586207,0.753622258322124,1.0
general,truth_table,OR:10,298,0.9932885906040269,0.753622258322124,1.0
general,truth_table,OR:11,321,0.9968847352024922,0.753622258322124,1.0
general,truth_table,XOR:00,277,0.4981949458483754,0.753622258322124,1.0
general,truth_table,XOR:01,333,0.7957957957957958,0.753622258322124,1.0
general,truth_table,XOR:10,314,0.7961783439490446,0.753622258322124,1.0
general,truth_table,XOR:11,322,0.5248447204968945,0.753622258322124,1.0
other_variable,operator,initialization,116,0.8448275862068966,0.8098668811389101,1.0
other_variable,operator,SET,95,0.8842105263157894,0.8098668811389101,1.0
other_variable,operator,NOT,92,0.7391304347826086,0.8098668811389101,1.0
other_variable,operator,AND,80,0.775,0.8098668811389101,1.0
other_variable,operator,OR,62,0.8548387096774194,0.8098668811389101,1.0
other_variable,operator,XOR,67,0.7611940298507462,0.8098668811389101,1.0
other_variable,query_var,A,147,0.8435374149659864,0.808634751845203,1.0
other_variable,query_var,B,137,0.8467153284671532,0.808634751845203,1.0
other_variable,query_var,C,113,0.7964601769911505,0.808634751845203,1.0
other_variable,query_var,D,115,0.7478260869565218,0.808634751845203,1.0
other_variable,answer,0,273,0.7619047619047619,0.8160988244670253,1.0
other_variable,answer,1,239,0.8702928870292888,0.8160988244670253,1.0
other_variable,blocks,8,31,0.8064516129032258,0.8120589848717114,1.0
other_variable,blocks,9,22,0.9090909090909091,0.8120589848717114,1.0
other_variable,blocks,10,31,0.7096774193548387,0.8120589848717114,1.0
other_variable,blocks,11,27,0.8888888888888888,0.8120589848717114,1.0
other_variable,blocks,12,34,0.8235294117647058,0.8120589848717114,1.0
other_variable,blocks,13,32,0.8125,0.8120589848717114,1.0
other_variable,blocks,14,25,0.84,0.8120589848717114,1.0
other_variable,blocks,15,40,0.85,0.8120589848717114,1.0
other_variable,blocks,16,22,0.7727272727272727,0.8120589848717114,1.0
other_variable,blocks,17,36,0.8333333333333334,0.8120589848717114,1.0
