metric,accuracy,count,threshold
general_read,0.9992768034713433,16593,0.99
legacy_other_variable,0.9990234375,1024,0.95
legacy_repeated_update,0.9990234375,1024,0.95
legacy_first_read_after_set,1.0,1024,0.95
first_42_cell_macro,0.9981398809523809,2688,0.95
repeat_42_cell_macro,1.0,2688,0.95
first_operator_AND,1.0,768,0.95
first_operator_NOT,1.0,384,0.95
first_operator_OR,0.9973958333333334,768,0.95
first_operator_XOR,0.99609375,768,0.95
first_depth_1,1.0,896,0.95
first_depth_2-3,1.0,896,0.95
first_depth_4+,0.9944196428571429,896,0.95
first_answer_0,0.9977678571428571,1344,0.95
first_answer_1,0.9985119047619048,1344,0.95
